video_game,price,kind,link,devoloper,platform,type
Dance Dance Revolution Ultramix,"80,99 €","""Shoot-Em-Up""",https://sandbox.oxylabs.io/products/688, Konami Computer Entertainment Hawaii,N/A,multiplayer
Extreme-G,"85,99 €",Vertical,https://sandbox.oxylabs.io/products/689, Probe Entertainment Limited,N/A,multiplayer
Death Stranding,"73,99 €",Sports,https://sandbox.oxylabs.io/products/690, Kojima Productions,N/A,singleplayer
S.T.A.L.K.E.R.: Shadow of Chernobyl,"85,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/691, GSC Game World,N/A,multiplayer
Far Cry 5,"69,99 €",General,https://sandbox.oxylabs.io/products/692, Ubisoft Montreal,N/A,multiplayer
Okamiden,"83,99 €",Party,https://sandbox.oxylabs.io/products/693, Capcom,N/A,
Space Invaders Extreme 2,"74,99 €",Party / Minigame,https://sandbox.oxylabs.io/products/694, Taito Corporation,N/A,
Kero Blaster,"71,99 €",Sports,https://sandbox.oxylabs.io/products/695, Studio Pixel,N/A,singleplayer
"Invisible, Inc. Console Edition","69,99 €",Individual,https://sandbox.oxylabs.io/products/696, Klei Entertainment,N/A,
Castle Crashers,"88,99 €",Skate / Skateboard,https://sandbox.oxylabs.io/products/697, The Behemoth,N/A,multiplayer
VIDEOBALL,"76,99 €",Action Adventure,https://sandbox.oxylabs.io/products/698, Action Button Entertainment,N/A,
Gunman Clive,"79,99 €",General,https://sandbox.oxylabs.io/products/699, Horberg Productions,N/A,
Vectronom,"84,99 €",Action,https://sandbox.oxylabs.io/products/700, Ludopium GmbH,N/A,singleplayer
Slime-san,"83,99 €",Shooter,https://sandbox.oxylabs.io/products/701, Fabraz,N/A,singleplayer
The Sims 4: Eco Lifestyle,"33,99 €",Third-Person,https://sandbox.oxylabs.io/products/702, Maxis,N/A,singleplayer
SOLAS 128,"82,99 €",Arcade,https://sandbox.oxylabs.io/products/703, Amicable Animal,N/A,singleplayer
XCOM: Enemy Unknown Plus,"82,99 €",Action Adventure,https://sandbox.oxylabs.io/products/704, Firaxis Games,N/A,singleplayer
Sega GT 2002,"79,99 €",Driving,https://sandbox.oxylabs.io/products/705, Wow Entertainment,N/A,multiplayer
Airborne Assault: Red Devils Over Arnhem,"74,99 €",Racing,https://sandbox.oxylabs.io/products/706, Panther Games,N/A,multiplayer
Tekken Advance,"77,99 €",GT / Street,https://sandbox.oxylabs.io/products/707, Eighting/Raizing,N/A,
Crazy Taxi 2,"83,99 €",Strategy,https://sandbox.oxylabs.io/products/708, Hitmaker,N/A,
Fallout Tactics: Brotherhood of Steel,"77,99 €",Wargame,https://sandbox.oxylabs.io/products/709, 14 Degrees East,N/A,
Ogre Battle 64,"89,99 €",Turn-Based,https://sandbox.oxylabs.io/products/710, Quest,N/A,singleplayer
Sonic Rush,"81,99 €",Action,https://sandbox.oxylabs.io/products/711, Dimps Corporation,N/A,singleplayer
Need for Speed: Underground 2,"86,99 €",Fighting,https://sandbox.oxylabs.io/products/712, EA Canada,N/A,singleplayer
Art of Balance Touch!,"74,99 €",3D,https://sandbox.oxylabs.io/products/713, Shin'en,N/A,
NHL Eastside Hockey Manager 2005,"66,99 €",Driving,https://sandbox.oxylabs.io/products/714, Sports Interactive,N/A,singleplayer
Legend of Grimrock,"81,99 €",Racing,https://sandbox.oxylabs.io/products/715, Almost Human,N/A,singleplayer
Borderlands Legendary Collection,"84,99 €",Arcade,https://sandbox.oxylabs.io/products/716, Gearbox Publishing,N/A,multiplayer
Dominions 3: The Awakening,"77,99 €",Role-Playing,https://sandbox.oxylabs.io/products/717, Illwinter Design Group,N/A,singleplayer
NyxQuest: Kindred Spirits,"82,99 €",Action RPG,https://sandbox.oxylabs.io/products/718, Over the Top Games,N/A,multiplayer
Prince of Persia Classic,"71,99 €",Strategy,https://sandbox.oxylabs.io/products/719, Gameloft,N/A,singleplayer
Star Fox Adventures,"79,99 €",Turn-Based,https://sandbox.oxylabs.io/products/720, Rare Ltd.,N/A,singleplayer
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,"79,99 €",Fantasy,https://sandbox.oxylabs.io/products/721, Telltale Games,N/A,singleplayer
Mario Kart Wii,"84,99 €",Action,https://sandbox.oxylabs.io/products/722, Nintendo,N/A,multiplayer
College Hoops 2K8,"59,99 €",Platformer,https://sandbox.oxylabs.io/products/723, Visual Concepts,N/A,multiplayer
EA SPORTS UFC 4,"22,99 €",2D,https://sandbox.oxylabs.io/products/724, Electronic Arts,N/A,multiplayer
Desktop Dungeons,"76,99 €",Driving,https://sandbox.oxylabs.io/products/725, QCF Design,N/A,
Crusader Kings II,"87,99 €",Racing,https://sandbox.oxylabs.io/products/726, Paradox Development Studio,N/A,multiplayer
Olympia Soiree,"82,99 €",Simulation,https://sandbox.oxylabs.io/products/727, Otomate,N/A,singleplayer
Tainted Grail: Conquest,"75,99 €",GT / Street,https://sandbox.oxylabs.io/products/728, Awaken Realms Digital,N/A,singleplayer
Art Academy: Home Studio,"79,99 €",Automobile,https://sandbox.oxylabs.io/products/729, Headstrong Games,N/A,
Europa 1400: The Guild,"83,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/730, 4Head Studios,N/A,multiplayer
Battle Realms,"85,99 €",Puzzle,https://sandbox.oxylabs.io/products/731, Liquid Entertainment,N/A,multiplayer
Warlords Battlecry,"77,99 €",General,https://sandbox.oxylabs.io/products/732, Strategic Studies Group,N/A,multiplayer
Shin Megami Tensei: Digital Devil Saga 2,"37,99 €",Sports,https://sandbox.oxylabs.io/products/733, Atlus Co.,N/A,singleplayer
Paradise Killer,"77,99 €",Traditional,https://sandbox.oxylabs.io/products/734, Kaizen Game Works,N/A,singleplayer
Sam & Max Episode 201: Ice Station Santa,"82,99 €",Team,https://sandbox.oxylabs.io/products/735, Telltale Games,N/A,singleplayer
Halo: Combat Evolved Anniversary,"82,99 €",Ice Hockey,https://sandbox.oxylabs.io/products/736, 343 Industries,N/A,multiplayer
N+,"75,99 €",Action,https://sandbox.oxylabs.io/products/737, Metanet Software Inc.,N/A,multiplayer
Major League Baseball 2K5,"74,99 €",Platformer,https://sandbox.oxylabs.io/products/738, Kush Games,N/A,multiplayer
Brothers in Arms: Road to Hill 30,"75,99 €",2D,https://sandbox.oxylabs.io/products/739, Gearbox Software,N/A,multiplayer
SOCOM: U.S. Navy SEALs Fireteam Bravo,"87,99 €",Sports,https://sandbox.oxylabs.io/products/740, Zipper Interactive,N/A,multiplayer
Art Style: ORBIENT,"82,99 €",Traditional,https://sandbox.oxylabs.io/products/741, Nintendo,N/A,singleplayer
Kingdom Hearts: Birth by Sleep,"86,99 €",Baseball,https://sandbox.oxylabs.io/products/742, Square Enix,N/A,singleplayer
The Last Guardian,"79,99 €",Sim,https://sandbox.oxylabs.io/products/743, SCE Japan Studio,N/A,singleplayer
Technobabylon,"77,99 €",Action,https://sandbox.oxylabs.io/products/744, Technocrat,N/A,
Madden NFL 09 All-Play,"74,99 €",Shooter,https://sandbox.oxylabs.io/products/745, EA Tiburon,N/A,multiplayer
Shin Megami Tensei: Nocturne,"62,99 €",First-Person,https://sandbox.oxylabs.io/products/746, Atlus Co.,N/A,singleplayer
World of Warcraft: Mists of Pandaria,"58,99 €",Historic,https://sandbox.oxylabs.io/products/747, Blizzard Entertainment,N/A,multiplayer
Splatoon 2: Octo Expansion,"84,99 €",Action,https://sandbox.oxylabs.io/products/748, Nintendo,N/A,
Filament,"76,99 €",Shooter,https://sandbox.oxylabs.io/products/749, Beard Envy,N/A,singleplayer
MotoGP 20,"63,99 €",Third-Person,https://sandbox.oxylabs.io/products/750, Milestone S.r.l,N/A,multiplayer
Recettear: An Item Shop's Tale,"86,99 €",Tactical,https://sandbox.oxylabs.io/products/751, EasyGameStation,N/A,
Command & Conquer 3: Tiberium Wars,"74,99 €",Modern,https://sandbox.oxylabs.io/products/752, EA LA,N/A,multiplayer
Harvest Moon: More Friends of Mineral Town,"85,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/753, TOSE,N/A,singleplayer
BlazBlue: Calamity Trigger Portable,"74,99 €",Puzzle,https://sandbox.oxylabs.io/products/754, Arc System Works,N/A,multiplayer
Midnight Club: Los Angeles,"83,99 €",General,https://sandbox.oxylabs.io/products/755, Rockstar San Diego,N/A,multiplayer
Flight Simulator X: Acceleration,"72,99 €",Role-Playing,https://sandbox.oxylabs.io/products/756, Microsoft Game Studios,N/A,
Etrian Odyssey II: Heroes of Lagaard,"82,99 €",Action RPG,https://sandbox.oxylabs.io/products/757, Atlus,N/A,singleplayer
Blood,"88,99 €",Fantasy,https://sandbox.oxylabs.io/products/758, Monolith Productions,N/A,multiplayer
Duelyst,"77,99 €",Action Adventure,https://sandbox.oxylabs.io/products/759, Counterplay Games,N/A,multiplayer
Links 2003,"68,99 €",Linear,https://sandbox.oxylabs.io/products/760, Microsoft Game Studios,N/A,
Earth & Beyond,"71,99 €",Adventure,https://sandbox.oxylabs.io/products/761, Westwood Studios,N/A,multiplayer
Virtual Pool 3,"71,99 €",General,https://sandbox.oxylabs.io/products/762, Celeris,N/A,multiplayer
The Sims: Livin' Large,"73,99 €",Point-and-Click,https://sandbox.oxylabs.io/products/763, Maxis,N/A,singleplayer
Sonic the Hedgehog 2,"78,99 €",Sports,https://sandbox.oxylabs.io/products/764, Sega,N/A,multiplayer
MLB The Show 18,"62,99 €",Traditional,https://sandbox.oxylabs.io/products/765, Sony Interactive Entertainment,N/A,multiplayer
DCS: Black Shark,"86,99 €",Team,https://sandbox.oxylabs.io/products/766, Eagle Dynamics,N/A,
ModNation Racers,"84,99 €",Football,https://sandbox.oxylabs.io/products/767, United Front Games,N/A,multiplayer
Soul Sacrifice Delta,"85,99 €",Sim,https://sandbox.oxylabs.io/products/768, SCE Japan Studio,N/A,multiplayer
King's Bounty: Armored Princess,"85,99 €",Role-Playing,https://sandbox.oxylabs.io/products/769, Katauri Interactive,N/A,
Monster Hunter Stories 2: Wings of Ruin,"77,99 €",Strategy,https://sandbox.oxylabs.io/products/770, Capcom,N/A,multiplayer
Rock Band Rivals,"66,99 €",Turn-Based,https://sandbox.oxylabs.io/products/771, Harmonix Music Systems,N/A,
Age of Wonders III - Golden Realms,"85,99 €",General,https://sandbox.oxylabs.io/products/772, Triumph Studios,N/A,
Clubhouse Games: 51 Worldwide Classics,"76,99 €",Role-Playing,https://sandbox.oxylabs.io/products/773, Nintendo,N/A,multiplayer
Halo Wars,"75,99 €",Japanese-Style,https://sandbox.oxylabs.io/products/774, Ensemble Studios,N/A,multiplayer
PixelJunk Monsters Encore,"83,99 €",Action,https://sandbox.oxylabs.io/products/775, Q-Games,N/A,multiplayer
Joint Operations: Typhoon Rising,"85,99 €",Rhythm,https://sandbox.oxylabs.io/products/776, NovaLogic,N/A,multiplayer
Astalon: Tears of the Earth,"49,99 €",Music,https://sandbox.oxylabs.io/products/777, LABS Works,N/A,singleplayer
MotorStorm: Pacific Rift,"81,99 €",Fantasy,https://sandbox.oxylabs.io/products/778, Evolution Studios,N/A,multiplayer
Xpand Rally,"73,99 €",Strategy,https://sandbox.oxylabs.io/products/779, Techland,N/A,multiplayer
Disgaea 4: A Promise Revisited,"82,99 €",Turn-Based,https://sandbox.oxylabs.io/products/780, Nippon Ichi Software,N/A,singleplayer
Year Walk,"76,99 €",General,https://sandbox.oxylabs.io/products/781, Simogo,N/A,
You Don't Know Jack,"82,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/782, Jellyvision,N/A,multiplayer
Celtic Kings: Rage of War,"77,99 €",Party / Minigame,https://sandbox.oxylabs.io/products/783, Haemimont,N/A,multiplayer
ATV Offroad Fury,"84,99 €",Strategy,https://sandbox.oxylabs.io/products/784, Rainbow Studios,N/A,multiplayer
B-17 Flying Fortress: The Mighty 8th,"73,99 €",Real-Time,https://sandbox.oxylabs.io/products/785, Wayward Simulations,N/A,singleplayer
EverQuest: The Scars of Velious,"73,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/786, Sony Online Entertainment,N/A,multiplayer
Suikoden II,"92,99 €",General,https://sandbox.oxylabs.io/products/787, Konami,N/A,singleplayer
Final Fight One,"80,99 €",Command,https://sandbox.oxylabs.io/products/788, Sun-Tec,N/A,multiplayer
Rising Storm,"84,99 €",Strategy,https://sandbox.oxylabs.io/products/789, Antimatter Games,N/A,
Lethal League,"77,99 €",Real-Time,https://sandbox.oxylabs.io/products/790, Reptile,N/A,
Ninja Five-O,"83,99 €",Fantasy,https://sandbox.oxylabs.io/products/791, Hudson,N/A,singleplayer
Captain Toad: Treasure Tracker,"79,99 €",Defense,https://sandbox.oxylabs.io/products/792, Nintendo EAD Tokyo,N/A,multiplayer
Loop Hero,"82,99 €",Action,https://sandbox.oxylabs.io/products/793, Four Quarters,N/A,singleplayer
Madden NFL 18,"43,99 €",Shooter,https://sandbox.oxylabs.io/products/794, EA Sports,N/A,multiplayer
Botanicula,"83,99 €",First-Person,https://sandbox.oxylabs.io/products/795, Amanita Design,N/A,
"Nine Hours, Nine Persons, Nine Doors","88,99 €",Tactical,https://sandbox.oxylabs.io/products/796, ChunSoft,N/A,singleplayer
Darkest Dungeon: The Crimson Court,"66,99 €",Modern,https://sandbox.oxylabs.io/products/797, Red Hook Studios,N/A,
Gnosia,"85,99 €",Action Adventure,https://sandbox.oxylabs.io/products/798, Petit Depotto,N/A,singleplayer
Life is Strange 2: Episode 5 - Wolves,"63,99 €",Open-World,https://sandbox.oxylabs.io/products/799, DONTNOD Entertainment,N/A,singleplayer
College Hoops 2K7,"82,99 €",Driving,https://sandbox.oxylabs.io/products/800, 2K Sports,N/A,multiplayer
Catherine,"81,99 €",Action Adventure,https://sandbox.oxylabs.io/products/801, Atlus,N/A,singleplayer
PixelJunk Shooter Ultimate,"72,99 €",Horror,https://sandbox.oxylabs.io/products/802, Double Eleven,N/A,
Bookworm Adventures Deluxe,"80,99 €",Survival,https://sandbox.oxylabs.io/products/803, PopCap,N/A,
The Lord of the Rings: The Battle for Middle-Earth,"86,99 €",Action,https://sandbox.oxylabs.io/products/804, EA LA,N/A,multiplayer
Bleach: Dark Souls,"78,99 €",Shooter,https://sandbox.oxylabs.io/products/805, Treasure,N/A,multiplayer
RIVE: Ultimate Edition,"77,99 €",Scrolling,https://sandbox.oxylabs.io/products/806, Two Tribes,N/A,singleplayer
Old World,"88,99 €","""Shoot-Em-Up""",https://sandbox.oxylabs.io/products/807, Mohawk Games,N/A,multiplayer
Pixel Ripped 1995,"66,99 €",Vertical,https://sandbox.oxylabs.io/products/808," Arvore Immersive Experiences, LLC",N/A,singleplayer
Azure Striker Gunvolt: Striker Pack,"79,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/809, Inti Creates,N/A,singleplayer
WildStar,"75,99 €",Puzzle,https://sandbox.oxylabs.io/products/810, Carbine Studios,N/A,multiplayer
Broken Age: Act 1,"77,99 €",General,https://sandbox.oxylabs.io/products/811, Double Fine Productions,N/A,singleplayer
Cities: Skylines - Xbox One Edition,"65,99 €",Logic,https://sandbox.oxylabs.io/products/812, Tantalus,N/A,singleplayer
Mortal Kombat Komplete Edition,"87,99 €",Strategy,https://sandbox.oxylabs.io/products/813, High Voltage Software,N/A,
Deus Ex: The Conspiracy,"88,99 €",Real-Time,https://sandbox.oxylabs.io/products/814, Ion Storm,N/A,singleplayer
Ninja Gaiden II,"80,99 €",Fantasy,https://sandbox.oxylabs.io/products/815, Team Ninja,N/A,singleplayer
Valkyrie Profile,"89,99 €",General,https://sandbox.oxylabs.io/products/816, Tri-Ace,N/A,singleplayer
Winds of Change,"85,99 €",Action,https://sandbox.oxylabs.io/products/817, Klace,N/A,singleplayer
PHOGS!,"56,99 €",Fighting,https://sandbox.oxylabs.io/products/818, Coatsink Software,N/A,multiplayer
Get Packed,"77,99 €",2D,https://sandbox.oxylabs.io/products/819, Moonshine Studios,N/A,multiplayer
Baldur's Gate and Baldur's Gate II: Enhanced Editions,"63,99 €",Action,https://sandbox.oxylabs.io/products/820, Beamdog,N/A,singleplayer
Shadowrun: Dragonfall,"83,99 €",Platformer,https://sandbox.oxylabs.io/products/821, Harebrained Schemes LLC,N/A,
MechAssault 2: Lone Wolf,"76,99 €",2D,https://sandbox.oxylabs.io/products/822, Day 1 Studios,N/A,multiplayer
Eets,"62,99 €",Strategy,https://sandbox.oxylabs.io/products/823, Klei Entertainment,N/A,
Pokemon LeafGreen Version,"85,99 €",Turn-Based,https://sandbox.oxylabs.io/products/824, Game Freak,N/A,multiplayer
World of Warships,"60,99 €",4X,https://sandbox.oxylabs.io/products/825, Wargaming.net,N/A,multiplayer
TOCA Race Driver 2: The Ultimate Racing Simulator,"77,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/826, Codemasters,N/A,multiplayer
Harvest Moon: Friends of Mineral Town,"87,99 €",Party / Minigame,https://sandbox.oxylabs.io/products/827, TOSE,N/A,singleplayer
Wargame: European Escalation,"81,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/828, Eugen Systems,N/A,
Rage of the Gladiator,"79,99 €",Compilation,https://sandbox.oxylabs.io/products/829, Ghostfire Games,N/A,singleplayer
SteamWorld Quest: Hand of Gilgamech,"77,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/830, Image & Form,N/A,singleplayer
Kinect Party,"68,99 €",Role-Playing,https://sandbox.oxylabs.io/products/831, Double Fine Productions,N/A,
Call of Duty: Black Ops III,"50,99 €",Massively Multiplayer Online,https://sandbox.oxylabs.io/products/832, Treyarch,N/A,multiplayer
Maldita Castilla EX: Cursed Castilla,"72,99 €",Action,https://sandbox.oxylabs.io/products/833, Locomalito,N/A,singleplayer
Katamari Damacy REROLL,"76,99 €",Platformer,https://sandbox.oxylabs.io/products/834, MONKEYCRAFT Co. Ltd.,N/A,singleplayer
Atlas Reactor,"75,99 €",2D,https://sandbox.oxylabs.io/products/835, Trion Worlds,N/A,multiplayer
Etrian Odyssey Nexus,"67,99 €",Action Adventure,https://sandbox.oxylabs.io/products/836, Atlus,N/A,singleplayer
L.A. Noire: The VR Case Files,"70,99 €",General,https://sandbox.oxylabs.io/products/837, Rockstar Games,N/A,singleplayer
Songbird Symphony,"79,99 €",Turn-Based,https://sandbox.oxylabs.io/products/838, Joysteak Studios,N/A,singleplayer
Antihero,"70,99 €",Action,https://sandbox.oxylabs.io/products/839, Tim Conkling,N/A,multiplayer
Halo Wars: Definitive Edition,"77,99 €",General,https://sandbox.oxylabs.io/products/840, Microsoft Game Studios,N/A,multiplayer
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,"85,99 €",General,https://sandbox.oxylabs.io/products/841, Nintendo,N/A,
A Space Shooter for 2 Bucks,"71,99 €",Role-Playing,https://sandbox.oxylabs.io/products/842, Frima Studio,N/A,singleplayer
Void Bastards,"74,99 €",Western-Style,https://sandbox.oxylabs.io/products/843, Blue Manchu,N/A,singleplayer
Redout (2016),"79,99 €",Adventure,https://sandbox.oxylabs.io/products/844, 34BigThings,N/A,multiplayer
God of War III Remastered,"82,99 €",3D,https://sandbox.oxylabs.io/products/845, Wholesale Algorithms,N/A,singleplayer
The 2D Adventures of Rotating Octopus Character,"81,99 €",First-Person,https://sandbox.oxylabs.io/products/846, Dakko Dakko,N/A,singleplayer
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,"77,99 €",Action,https://sandbox.oxylabs.io/products/847, Telltale Games,N/A,singleplayer
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,"72,99 €",Platformer,https://sandbox.oxylabs.io/products/848, Telltale Games,N/A,singleplayer
Age of Empires III: The Asian Dynasties,"83,99 €",2D,https://sandbox.oxylabs.io/products/849, Big Huge Games,N/A,multiplayer
BoxBoy! + BoxGirl!,"79,99 €",Strategy,https://sandbox.oxylabs.io/products/850, HAL Labs,N/A,singleplayer
MLB 2006,"86,99 €",Turn-Based,https://sandbox.oxylabs.io/products/851, 989 Sports,N/A,multiplayer
"Codename: Panzers, Phase One","86,99 €",Tactics,https://sandbox.oxylabs.io/products/852, Stormregion,N/A,multiplayer
Affordable Space Adventures,"81,99 €",Strategy,https://sandbox.oxylabs.io/products/853, KnapNok Games,N/A,
Dragon Quest VII: Fragments of the Forgotten Past,"82,99 €",Real-Time,https://sandbox.oxylabs.io/products/854, ArtePiazza,N/A,singleplayer
AVICII Invector Encore Edition,"77,99 €",General,https://sandbox.oxylabs.io/products/855, Wired Productions,N/A,singleplayer
3D After Burner II,"78,99 €",Command,https://sandbox.oxylabs.io/products/856, M2,N/A,
Europa Universalis IV: Conquest of Paradise,"77,99 €",Action Adventure,https://sandbox.oxylabs.io/products/857, Paradox Development Studio,N/A,
Ghost Master,"79,99 €",Open-World,https://sandbox.oxylabs.io/products/858, Sick Puppies,N/A,singleplayer
Divine Divinity,"84,99 €",Action,https://sandbox.oxylabs.io/products/859, Larian Studios Games,N/A,singleplayer
Mega Man Battle Network 2,"86,99 €",General,https://sandbox.oxylabs.io/products/860, Capcom,N/A,multiplayer
Breath of Fire II,"83,99 €",Shooter,https://sandbox.oxylabs.io/products/861, Capcom,N/A,multiplayer
Donkey Kong Jungle Beat,"82,99 €","""Shoot-Em-Up""",https://sandbox.oxylabs.io/products/862, Nintendo,N/A,singleplayer
Mario Power Tennis,"85,99 €",Vertical,https://sandbox.oxylabs.io/products/863, Camelot Software Planning,N/A,multiplayer
Gears Tactics,"77,99 €",Action,https://sandbox.oxylabs.io/products/864, Splash Damage,N/A,singleplayer
The Legend of Heroes: Trails of Cold Steel II,"83,99 €",Role-Playing,https://sandbox.oxylabs.io/products/865, Falcom,N/A,singleplayer
Dark Deity,"65,99 €",Japanese-Style,https://sandbox.oxylabs.io/products/866, Sword & Axe LLC,N/A,singleplayer
Disgaea 5: Alliance of Vengeance,"82,99 €",Role-Playing,https://sandbox.oxylabs.io/products/867, Nippon Ichi Software,N/A,singleplayer
Age of Conan: Hyborian Adventures,"73,99 €",General,https://sandbox.oxylabs.io/products/868, Funcom,N/A,multiplayer
Company of Heroes 2: The Western Front Armies,"69,99 €",Japanese-Style,https://sandbox.oxylabs.io/products/869, Relic,N/A,
Sid Meier's Civilization V: Gods & Kings,"77,99 €",Fantasy,https://sandbox.oxylabs.io/products/870, Firaxis Games,N/A,
Dragon Quest IV: Chapters of the Chosen,"81,99 €",Strategy,https://sandbox.oxylabs.io/products/871, ArtePiazza,N/A,singleplayer
The Elder Scrolls: Legends,"55,99 €",Turn-Based,https://sandbox.oxylabs.io/products/872, Bethesda Softworks,N/A,multiplayer
Age of Empires III: The WarChiefs,"78,99 €",Tactics,https://sandbox.oxylabs.io/products/873, Ensemble Studios,N/A,multiplayer
Ace Combat 6: Fires of Liberation,"80,99 €",Role-Playing,https://sandbox.oxylabs.io/products/874, Project Aces,N/A,multiplayer
Crash Team Racing: Nitro-Fueled,"64,99 €",Massively Multiplayer Online,https://sandbox.oxylabs.io/products/875, Beenox,N/A,multiplayer
Youropa,"78,99 €",Massively Multiplayer,https://sandbox.oxylabs.io/products/876, frecle ApS,N/A,singleplayer
Endless Space 2,"79,99 €",Fantasy,https://sandbox.oxylabs.io/products/877, Amplitude Studios,N/A,multiplayer
Pokemon Black Version 2,"79,99 €",Strategy,https://sandbox.oxylabs.io/products/878, Game Freak,N/A,multiplayer
Soul Reaver 2,"85,99 €",Real-Time,https://sandbox.oxylabs.io/products/879, Crystal Dynamics,N/A,singleplayer
Rocket Riot,"76,99 €",General,https://sandbox.oxylabs.io/products/880, Codeglue,N/A,multiplayer
Detroit: Become Human,"78,99 €",Historic,https://sandbox.oxylabs.io/products/881, Quantic Dream,N/A,singleplayer
Leap of Fate,"71,99 €",Strategy,https://sandbox.oxylabs.io/products/882, Clever-Plays,N/A,singleplayer
Syberia II,"84,99 €",Turn-Based,https://sandbox.oxylabs.io/products/883, Microids,N/A,singleplayer
Shenmue II,"89,99 €",Historic,https://sandbox.oxylabs.io/products/884, Sega AM2,N/A,singleplayer
Ecks vs. Sever,"80,99 €",4X,https://sandbox.oxylabs.io/products/885, Crawfish Interactive,N/A,multiplayer
Conquest: Frontier Wars,"81,99 €",Role-Playing,https://sandbox.oxylabs.io/products/886, Fever Pitch Studios,N/A,multiplayer
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned","83,99 €",Console-style RPG,https://sandbox.oxylabs.io/products/887, Sierra Entertainment,N/A,singleplayer
Jet Force Gemini,"87,99 €",Japanese-Style,https://sandbox.oxylabs.io/products/888, Rare Ltd.,N/A,multiplayer
Star Ocean: The Second Story,"85,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/889, Tri-Ace,N/A,singleplayer
Tyranny,"78,99 €",Board / Card Game,https://sandbox.oxylabs.io/products/890, Obsidian Entertainment,N/A,singleplayer
Gitaroo Man Lives!,"84,99 €",Strategy,https://sandbox.oxylabs.io/products/891, Koei/Inis,N/A,multiplayer
Skul: The Hero Slayer,"65,99 €",Real-Time,https://sandbox.oxylabs.io/products/892, SouthPAW Games,N/A,singleplayer
Football Manager 2017,"54,99 €",Historic,https://sandbox.oxylabs.io/products/893, Sports Interactive,N/A,
Super Time Force,"65,99 €",Command,https://sandbox.oxylabs.io/products/894, Capy Games,N/A,
SpellForce 3: Soul Harvest,"83,99 €",Action,https://sandbox.oxylabs.io/products/895, Grimlore Games,N/A,multiplayer
Westerado: Double Barreled,"77,99 €",Simulation,https://sandbox.oxylabs.io/products/896, Ostrich Banditos,N/A,singleplayer
Age of Empires: The Age of Kings,"80,99 €",Strategy,https://sandbox.oxylabs.io/products/897, Backbone Entertainment,N/A,multiplayer
Vitamin Connection,"80,99 €",Turn-Based,https://sandbox.oxylabs.io/products/898, WayForward,N/A,singleplayer
Five Nights at Freddy's VR: Help Wanted,"78,99 €",Historic,https://sandbox.oxylabs.io/products/899," Steel Wool Games, Inc.",N/A,singleplayer
Volume,"73,99 €",General,https://sandbox.oxylabs.io/products/900, Mike Bithell,N/A,singleplayer
Mighty Switch Force! Hyper Drive Edition,"77,99 €",Action,https://sandbox.oxylabs.io/products/901, WayForward,N/A,
"Snipperclips - Cut it out, together!","82,99 €",General,https://sandbox.oxylabs.io/products/902, Nintendo,N/A,
WWE SmackDown vs. Raw 2010,"82,99 €",Action Adventure,https://sandbox.oxylabs.io/products/903, Yuke's,N/A,
Sam & Max Episode 202: Moai Better Blues,"70,99 €",Survival,https://sandbox.oxylabs.io/products/904, Telltale Games,N/A,singleplayer
Final Fantasy Tactics A2: Grimoire of the Rift,"88,99 €",Action,https://sandbox.oxylabs.io/products/905, Square Enix,N/A,multiplayer
Pinball FX3: Bethesda Pinball,"80,99 €",Action Adventure,https://sandbox.oxylabs.io/products/906, Zen Studios,N/A,
Age of Wonders III - Eternal Lords,"84,99 €",Platformer,https://sandbox.oxylabs.io/products/907, Triumph Studios,N/A,
Game of Thrones: Episode Three - The Sword in the Darkness,"78,99 €",Linear,https://sandbox.oxylabs.io/products/908, Telltale Games,N/A,
Hot Shots Golf Fore!,"84,99 €",3D,https://sandbox.oxylabs.io/products/909, Clap Hanz,N/A,multiplayer
Osmos,"76,99 €",Action,https://sandbox.oxylabs.io/products/910, Hemisphere Games,N/A,singleplayer
Assassin's Creed: The Rebel Collection,"82,99 €",Platformer,https://sandbox.oxylabs.io/products/911, Ubisoft,N/A,multiplayer
Disney Infinity 3.0 Edition,"60,99 €",2D,https://sandbox.oxylabs.io/products/912, Avalanche Software,N/A,multiplayer
Dungeon Siege II,"78,99 €",Puzzle,https://sandbox.oxylabs.io/products/913, Gas Powered Games,N/A,multiplayer
Street Fighter Alpha 3 MAX,"82,99 €",General,https://sandbox.oxylabs.io/products/914, Capcom,N/A,
Sam & Max Episode 104: Abe Lincoln Must Die!,"74,99 €",Action,https://sandbox.oxylabs.io/products/915, Telltale Games,N/A,singleplayer
